query,target,method,time
rtrange,9.9295288,mz5,0.9762204999569803
rtrange,9.9295288,MZTree,0.6320607999805361
rtrange,9.9295288,mzMD,0.4993306999094784
rtrange,9.9295288,SQLite,0.4377771997824311
rtrange,9.9295288,DuckDB,0.024979399982839823
rtrange,9.9295288,Parquet,0.047190999845042825
ms2_spec,3778,pyteomics,2.8231764000374824
ms2_spec,3778,pyopenms,2.6797738999594003
ms2_spec,3778,pymzml,0.04241090011782944
ms2_spec,3778,mzMLb,2.9278914998285472
ms2_spec,3778,mzDB,0.04902800009585917
ms2_spec,3778,MZA,0.0010885000228881836
ms2_spec,3778,mz5,0.03724039997905493
ms2_spec,3778,SQLite,0.2399544999934733
ms2_spec,3778,DuckDB,0.02259750012308359
ms2_spec,3778,Parquet,0.05264940019696951
ms2_spec,3815,pyteomics,2.6991920999716967
ms2_spec,3815,pyopenms,2.6557317001279444
ms2_spec,3815,pymzml,0.045761199900880456
ms2_spec,3815,mzMLb,2.945508100092411
ms2_spec,3815,mzDB,0.050538099836558104
ms2_spec,3815,MZA,0.0012424001470208168
ms2_spec,3815,mz5,0.0374700000975281
ms2_spec,3815,SQLite,0.24593820003792644
ms2_spec,3815,DuckDB,0.011757800122722983
ms2_spec,3815,Parquet,0.050363400019705296
ms2_spec,5685,pyteomics,3.908500799909234
ms2_spec,5685,pyopenms,2.6892504000570625
ms2_spec,5685,pymzml,0.043465299997478724
ms2_spec,5685,mzMLb,4.339939099969342
ms2_spec,5685,mzDB,0.03730629989877343
ms2_spec,5685,MZA,0.0012510998640209436
ms2_spec,5685,mz5,0.040595199912786484
ms2_spec,5685,SQLite,0.25083490018732846
ms2_spec,5685,DuckDB,0.01309000002220273
ms2_spec,5685,Parquet,0.0511332000605762
ms2_spec,6859,pyteomics,4.505408999975771
ms2_spec,6859,pyopenms,2.6663097999989986
ms2_spec,6859,pymzml,0.04418239998631179
ms2_spec,6859,mzMLb,5.136804500129074
ms2_spec,6859,mzDB,0.0706434000749141
ms2_spec,6859,MZA,0.002397299977019429
ms2_spec,6859,mz5,0.04247839981690049
ms2_spec,6859,SQLite,0.23661969997920096
ms2_spec,6859,DuckDB,0.011202699970453978
ms2_spec,6859,Parquet,0.050096399849280715
ms2_spec,4223,pyteomics,2.9855150999501348
ms2_spec,4223,pyopenms,2.659705499885604
ms2_spec,4223,pymzml,0.0451774001121521
ms2_spec,4223,mzMLb,3.2991987999994308
ms2_spec,4223,mzDB,0.046384200220927596
ms2_spec,4223,MZA,0.0012522002216428518
ms2_spec,4223,mz5,0.041239599930122495
ms2_spec,4223,SQLite,0.236770800082013
ms2_spec,4223,DuckDB,0.011369899846613407
ms2_spec,4223,Parquet,0.049614000134170055
ms2_spec,3372,pyteomics,2.458977200090885
ms2_spec,3372,pyopenms,2.665518800029531
ms2_spec,3372,pymzml,0.0457695999648422
ms2_spec,3372,mzMLb,2.5884403998497874
ms2_spec,3372,mzDB,0.04812029981985688
ms2_spec,3372,MZA,0.00115099991671741
ms2_spec,3372,mz5,0.03815549984574318
ms2_spec,3372,SQLite,0.23837809986434877
ms2_spec,3372,DuckDB,0.013903400162234902
ms2_spec,3372,Parquet,0.05284880008548498
ms2_spec,6948,pyteomics,4.594779000151902
ms2_spec,6948,pyopenms,2.7569629000499845
ms2_spec,6948,pymzml,0.0432430999353528
ms2_spec,6948,mzMLb,5.2361940001137555
ms2_spec,6948,mzDB,0.0701254999730736
ms2_spec,6948,MZA,0.0013701999559998512
ms2_spec,6948,mz5,0.03957660007290542
ms2_spec,6948,SQLite,0.23999229981563985
ms2_spec,6948,DuckDB,0.011518500046804547
ms2_spec,6948,Parquet,0.05933459987863898
ms2_spec,6354,pyteomics,4.550210700137541
ms2_spec,6354,pyopenms,2.7568258000537753
ms2_spec,6354,pymzml,0.045906199840828776
ms2_spec,6354,mzMLb,4.7452639997936785
